# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu-clock:pppH'
# Event count (approx.): 1238000000
#
# Overhead       Samples  Command        Shared Object         Symbol                                                                                                                                                                                                                                                        
# ........  ............  .............  ....................  ..............................................................................................................................................................................................................................................................
#
    27.16%          1345  LLCL Thread 1  llama2                [.] $llama2::matmul_parallelized($llama2::Matrix,$llama2::Matrix,$llama2::Matrix,$runtime::$llcl::Runtime)_async_closure_af
    26.53%          1314  llama2         llama2                [.] $llama2::matmul_parallelized($llama2::Matrix,$llama2::Matrix,$llama2::Matrix,$runtime::$llcl::Runtime)_async_closure_af
    15.43%           764  llama2         llama2                [.] main
    12.82%           635  LLCL Thread 1  [vdso]                [.] 0x00000000000006e8
     2.22%           110  LLCL Thread 1  llama2                [.] (anonymous namespace)::WorkQueueThread::runOnThread
     1.60%            79  llama2         [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore
     1.37%            68  LLCL Thread 1  libstdc++.so.6.0.28   [.] std::chrono::_V2::system_clock::now
     0.95%            47  llama2         [vdso]                [.] 0x00000000000006e8
     0.69%            34  LLCL Thread 1  [vdso]                [.] 0x000000000000082d
     0.59%            29  LLCL Thread 1  libc-2.31.so          [.] clock_gettime@GLIBC_2.2.5
     0.59%            29  llama2         llama2                [.] (anonymous namespace)::WorkQueueThread::runItemsImpl<(anonymous namespace)::ThreadPoolWorkQueue::await(llvm::ArrayRef<M::LLCL::AnyAsyncValueRef>)::$_6, (anonymous namespace)::ThreadPoolWorkQueue::await(llvm::ArrayRef<M::LLCL::AnyAsyncValueRef>)::$_7>
     0.34%            17  llama2         [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.30%            15  LLCL Thread 1  [kernel.kallsyms]     [k] __softirqentry_text_start
     0.30%            15  LLCL Thread 1  [vdso]                [.] 0x0000000000000840
     0.30%            15  LLCL Thread 1  [vdso]                [.] 0x0000000000000872
     0.28%            14  llama2         [kernel.kallsyms]     [k] syscall_enter_from_user_mode
     0.26%            13  LLCL Thread 1  [vdso]                [.] 0x00000000000006ee
     0.24%            12  LLCL Thread 1  [vdso]                [.] 0x0000000000000805
     0.24%            12  LLCL Thread 1  [vdso]                [.] 0x0000000000000846
     0.22%            11  LLCL Thread 1  [vdso]                [.] 0x00000000000006f1
     0.22%            11  llama2         llama2                [.] M::LLCL::LockFreeRingBuffer<M::LLCL::WorkItem>::dequeue
     0.20%            10  LLCL Thread 1  [vdso]                [.] 0x00000000000007bc
     0.20%            10  LLCL Thread 1  [vdso]                [.] 0x0000000000000810
     0.20%            10  llama2         libc-2.31.so          [.] _int_malloc
     0.18%             9  LLCL Thread 1  [vdso]                [.] 0x00000000000007dc
     0.16%             8  LLCL Thread 1  [vdso]                [.] 0x000000000000082a
     0.16%             8  llama2         [kernel.kallsyms]     [k] clear_page_erms
     0.16%             8  llama2         [kernel.kallsyms]     [k] queue_work_on
     0.14%             7  llama2         [kernel.kallsyms]     [k] __audit_syscall_exit
     0.14%             7  llama2         libc-2.31.so          [.] __memmove_avx_unaligned_erms
     0.14%             7  llama2         llama2                [.] M::LLCL::LockFreeRingBuffer<M::LLCL::WorkItem>::enqueue
     0.12%             6  LLCL Thread 1  [vdso]                [.] __vdso_clock_gettime
     0.10%             5  llama2         [kernel.kallsyms]     [k] __kmalloc_node
     0.10%             5  llama2         libc-2.31.so          [.] sched_getaffinity@@GLIBC_2.3.4
     0.10%             5  llama2         libpython3.10.so.1.0  [.] _PyObject_Malloc
     0.10%             5  llama2         libstdc++.so.6.0.28   [.] std::chrono::_V2::system_clock::now
     0.10%             5  llama2         llama2                [.] M::KGEN::OutputChain::~OutputChain
     0.08%             4  llama2         [kernel.kallsyms]     [k] auditd_test_task
